Site,Col_Company,Col_Recuit,Col_detail,Col_url
Saramin,쿠팡(주),[쿠팡]  Business Analysis (Pricing Data Analysis),"['서울 송파구', '경력 3~6년', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51465938&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)성원애드피아,㈜성원애드피아 DA(데이터 분석 및 정보분석) 인재 채용,"['서울 성동구', '경력무관', '고졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51680396&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,디포커스(주),Tableau 컨설턴트 신입/경력 채용 - 데이터 분석 및 시각화,"['서울 성동구', '경력무관', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51785631&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,서울대학교병원,"연구과제참여 - AI기반 의료 데이터(Image, EMR) 분석 채용 공고","['서울 종로구', '신입·경력', '대졸↑', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51752077&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)잡플러스코리아,"[TKL] 콜센터지원팀 총무 및 사무지원팀[물품관리,콜데이터분석]","['서울 마포구', '경력무관', '학력무관', '계약직·파견직', '3,200 만원']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51604150&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,푸드팡(주),DataOps Manager (Data Analyst),"['서울 송파구', '경력무관', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51344120&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)네피리티,[(주)네피리티/서울] 데이터 분석 및 AI모델 개발 모집,"['서울 서초구', '경력무관', '대졸↑', '정규직·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51572297&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,데이터랩(주),"데이터 ETL, 빅데이터 분석 및 AI 알고리즘","['경기 수원시 영통구', '경력무관', '대졸↑', '정규직·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51710399&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)오토노머스에이투지,[정규직] 자율주행 빅데이터 분석 개발자 채용,"['경기 안양시 동안구', '경력무관', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51723720&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,제이투케이,파이썬 인공지능 데이터 분석 전문가 모집 파트타임가능,"['서울 서초구', '경력무관', '학력무관', '정규직·계약직', '5,000 만원']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51347718&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,다산팩 주식회사,데이터 분석 2팀 모집,"['서울 송파구', '신입·경력', '대졸↑', '정규직', '3,500 만원']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51376734&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,에이티아이(주),에이티아이(주) 기술연구소 데이터 분석 직무,"['인천 연수구', '경력무관', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51523037&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,마린웍스(주),AI(인공지능) 개발 및 데이터 분석 연구자,"['서울 종로구', '경력3년↑', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384451&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)어센트코리아,마케팅 데이터 분석가,"['서울 강남구', '경력 1~5년', '고졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51656355&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용,"['서울 금천구', '경력무관', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51742263&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,한국과학기술연구원,KIST 9월 연수직(연구인턴) 공개채용(특성분석데이터센터),"['서울 성북구', '경력무관', '대졸↑', '인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51740054&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
